Method,Robots,Tasks,Candidates,Score,Length
rank_assignments_borda,10,5,10,40.125,180.3
rank_assignments_approval,10,5,10,35.625,1820.7
rank_assignments_majority_judgment,10,5,10,59.77499999999999,1458.6
rank_assignments_cumulative_voting,10,5,10,59.77499999999999,864.3
rank_assignments_condorcet_method,10,5,10,59.858333333333334,1853.7
rank_assignments_range,10,5,10,55.025000000000006,80.5
cbba_task_allocation,10,5,10,59.858333333333334,273.2
ssia_task_allocation,10,5,10,59.85833333333333,39.7
ilp_task_allocation,10,5,10,59.858333333333334,46484.9
jv_task_allocation,10,5,10,59.858333333333334,469.8
rank_assignments_borda,10,5,10,21.5,88.8
rank_assignments_approval,10,5,10,38.83333333333333,62.1
rank_assignments_majority_judgment,10,5,10,0.0,201.5
rank_assignments_cumulative_voting,10,5,10,38.83333333333333,100.0
rank_assignments_condorcet_method,10,5,10,38.83333333333333,538.3
rank_assignments_range,10,5,10,38.83333333333333,19.0
cbba_task_allocation,10,5,10,39.41666666666667,54.6
ssia_task_allocation,10,5,10,39.41666666666667,12.9
ilp_task_allocation,10,5,10,39.41666666666667,44442.7
jv_task_allocation,10,5,10,39.41666666666667,139.9
rank_assignments_borda,10,5,10,17.208333333333332,151.0
rank_assignments_approval,10,5,10,37.40833333333333,161.8
rank_assignments_majority_judgment,10,5,10,55.858333333333334,265.1
rank_assignments_cumulative_voting,10,5,10,36.358333333333334,166.9
rank_assignments_condorcet_method,10,5,10,59.21666666666666,667.2
rank_assignments_range,10,5,10,38.824999999999996,30.0
cbba_task_allocation,10,5,10,78.09166666666667,117.9
ssia_task_allocation,10,5,10,76.425,16.3
ilp_task_allocation,10,5,10,78.09166666666667,45034.1
jv_task_allocation,10,5,10,78.09166666666667,135.2
rank_assignments_borda,10,5,10,16.041666666666664,88.1
rank_assignments_approval,10,5,10,17.666666666666664,62.0
rank_assignments_majority_judgment,10,5,10,52.54166666666666,244.7
rank_assignments_cumulative_voting,10,5,10,16.75,94.4
rank_assignments_condorcet_method,10,5,10,35.58333333333333,693.9
rank_assignments_range,10,5,10,36.5,18.7
cbba_task_allocation,10,5,10,70.04880952380952,59.3
ssia_task_allocation,10,5,10,70.04880952380952,11.6
ilp_task_allocation,10,5,10,70.04880952380952,175875.1
jv_task_allocation,10,5,10,70.04880952380952,599.2
rank_assignments_borda,10,5,10,35.15,142.1
rank_assignments_approval,10,5,10,35.65,123.3
rank_assignments_majority_judgment,10,5,10,14.983333333333334,464.4
rank_assignments_cumulative_voting,10,5,10,14.983333333333334,1732.6
rank_assignments_condorcet_method,10,5,10,14.983333333333334,975.3
rank_assignments_range,10,5,10,35.65,35.4
cbba_task_allocation,10,5,10,36.65,90.5
ssia_task_allocation,10,5,10,36.65,24.4
ilp_task_allocation,10,5,10,36.65,58888.6
jv_task_allocation,10,5,10,36.65,120.4
rank_assignments_borda,10,5,25,0.0,205.0
rank_assignments_approval,10,5,25,19.083333333333332,151.5
rank_assignments_majority_judgment,10,5,25,0.0,376.1
rank_assignments_cumulative_voting,10,5,25,39.666666666666664,205.9
rank_assignments_condorcet_method,10,5,25,39.666666666666664,3575.2
rank_assignments_range,10,5,25,39.666666666666664,45.8
cbba_task_allocation,10,5,25,60.18333333333334,67.1
ssia_task_allocation,10,5,25,60.18333333333334,11.1
ilp_task_allocation,10,5,25,60.18333333333334,51472.2
jv_task_allocation,10,5,25,60.18333333333334,102.8
rank_assignments_borda,10,5,25,31.9,199.2
rank_assignments_approval,10,5,25,35.66666666666667,144.7
rank_assignments_majority_judgment,10,5,25,31.9,364.7
rank_assignments_cumulative_voting,10,5,25,32.233333333333334,224.6
rank_assignments_condorcet_method,10,5,25,35.66666666666667,5918.7
rank_assignments_range,10,5,25,36.0,58.4
cbba_task_allocation,10,5,25,36.0,73.1
ssia_task_allocation,10,5,25,36.0,16.3
ilp_task_allocation,10,5,25,36.0,49145.4
jv_task_allocation,10,5,25,36.0,147.6
rank_assignments_borda,10,5,25,34.80952380952381,199.0
rank_assignments_approval,10,5,25,53.714285714285715,142.9
rank_assignments_majority_judgment,10,5,25,53.71428571428571,370.5
rank_assignments_cumulative_voting,10,5,25,51.55952380952381,214.6
rank_assignments_condorcet_method,10,5,25,39.89285714285714,3646.6
rank_assignments_range,10,5,25,60.44047619047619,104.9
cbba_task_allocation,10,5,25,77.69047619047619,130.2
ssia_task_allocation,10,5,25,77.69047619047619,29.6
ilp_task_allocation,10,5,25,77.69047619047619,49517.3
jv_task_allocation,10,5,25,77.69047619047619,488.9
rank_assignments_borda,10,5,25,56.8,345.5
rank_assignments_approval,10,5,25,56.442857142857136,201.3
rank_assignments_majority_judgment,10,5,25,56.942857142857136,494.0
rank_assignments_cumulative_voting,10,5,25,36.88333333333333,303.5
rank_assignments_condorcet_method,10,5,25,56.942857142857136,4912.7
rank_assignments_range,10,5,25,56.942857142857136,79.6
cbba_task_allocation,10,5,25,56.94285714285714,161.4
ssia_task_allocation,10,5,25,56.3,20.2
ilp_task_allocation,10,5,25,56.94285714285714,45412.6
jv_task_allocation,10,5,25,56.94285714285714,122.6
rank_assignments_borda,10,5,25,17.65,201.2
rank_assignments_approval,10,5,25,51.44761904761904,145.8
rank_assignments_majority_judgment,10,5,25,49.897619047619045,373.4
rank_assignments_cumulative_voting,10,5,25,54.21428571428571,227.3
rank_assignments_condorcet_method,10,5,25,51.364285714285714,3677.4
rank_assignments_range,10,5,25,51.864285714285714,41.8
cbba_task_allocation,10,5,25,74.08928571428571,80.8
ssia_task_allocation,10,5,25,74.08928571428572,11.0
ilp_task_allocation,10,5,25,74.08928571428571,47961.7
jv_task_allocation,10,5,25,74.08928571428571,155.0
rank_assignments_borda,10,5,50,28.7375,388.4
rank_assignments_approval,10,5,50,29.070833333333333,287.1
rank_assignments_majority_judgment,10,5,50,29.40416666666667,675.2
rank_assignments_cumulative_voting,10,5,50,29.070833333333333,425.1
rank_assignments_condorcet_method,10,5,50,29.40416666666667,18957.5
rank_assignments_range,10,5,50,29.40416666666667,117.5
cbba_task_allocation,10,5,50,52.76325757575758,124.0
ssia_task_allocation,10,5,50,52.763257575757585,14.0
ilp_task_allocation,10,5,50,52.76325757575758,39082.7
jv_task_allocation,10,5,50,52.76325757575758,99.4
rank_assignments_borda,10,5,50,39.79761904761905,391.8
rank_assignments_approval,10,5,50,57.08095238095238,351.4
rank_assignments_majority_judgment,10,5,50,57.08095238095238,666.1
rank_assignments_cumulative_voting,10,5,50,57.449999999999996,421.5
rank_assignments_condorcet_method,10,5,50,56.949999999999996,15226.8
rank_assignments_range,10,5,50,57.449999999999996,108.8
cbba_task_allocation,10,5,50,57.45,87.5
ssia_task_allocation,10,5,50,56.58095238095238,15.2
ilp_task_allocation,10,5,50,57.45,43709.7
jv_task_allocation,10,5,50,57.449999999999996,460.5
rank_assignments_borda,10,5,50,53.69166666666666,385.0
rank_assignments_approval,10,5,50,56.458333333333336,280.2
rank_assignments_majority_judgment,10,5,50,53.525,716.5
rank_assignments_cumulative_voting,10,5,50,74.60833333333332,757.1
rank_assignments_condorcet_method,10,5,50,74.60833333333333,16047.9
rank_assignments_range,10,5,50,60.9,85.6
cbba_task_allocation,10,5,50,76.44166666666666,57.2
ssia_task_allocation,10,5,50,76.44166666666666,11.6
ilp_task_allocation,10,5,50,76.44166666666666,42360.7
jv_task_allocation,10,5,50,76.44166666666666,93.9
rank_assignments_borda,10,5,50,36.08333333333333,397.1
rank_assignments_approval,10,5,50,57.33988095238095,561.9
rank_assignments_majority_judgment,10,5,50,54.42321428571429,988.3
rank_assignments_cumulative_voting,10,5,50,58.27083333333333,460.0
rank_assignments_condorcet_method,10,5,50,55.35416666666667,17633.9
rank_assignments_range,10,5,50,58.27083333333333,80.9
cbba_task_allocation,10,5,50,58.27083333333333,81.3
ssia_task_allocation,10,5,50,58.27083333333333,19.3
ilp_task_allocation,10,5,50,58.27083333333333,47889.7
jv_task_allocation,10,5,50,58.27083333333333,280.0
rank_assignments_borda,10,5,50,0.0,370.5
rank_assignments_approval,10,5,50,20.916666666666664,278.2
rank_assignments_majority_judgment,10,5,50,0.0,663.9
rank_assignments_cumulative_voting,10,5,50,20.916666666666664,407.3
rank_assignments_condorcet_method,10,5,50,20.916666666666664,17373.0
rank_assignments_range,10,5,50,20.916666666666664,80.7
cbba_task_allocation,10,5,50,41.0,78.5
ssia_task_allocation,10,5,50,39.36666666666667,11.7
ilp_task_allocation,10,5,50,41.0,39031.3
jv_task_allocation,10,5,50,41.0,394.8
rank_assignments_borda,10,5,100,33.53571428571429,764.7
rank_assignments_approval,10,5,100,55.06666666666667,809.5
rank_assignments_majority_judgment,10,5,100,49.385714285714286,1769.8
rank_assignments_cumulative_voting,10,5,100,67.21904761904761,1487.1
rank_assignments_condorcet_method,10,5,100,67.21904761904761,74432.3
rank_assignments_range,10,5,100,67.21904761904761,160.4
cbba_task_allocation,10,5,100,74.03571428571428,79.0
ssia_task_allocation,10,5,100,74.03571428571429,11.0
ilp_task_allocation,10,5,100,74.03571428571429,49514.9
jv_task_allocation,10,5,100,74.03571428571429,163.5
rank_assignments_borda,10,5,100,28.583333333333336,1254.1
rank_assignments_approval,10,5,100,28.583333333333336,636.0
rank_assignments_majority_judgment,10,5,100,14.0,1259.4
rank_assignments_cumulative_voting,10,5,100,31.85,1042.0
rank_assignments_condorcet_method,10,5,100,31.85,72269.7
rank_assignments_range,10,5,100,31.85,204.1
cbba_task_allocation,10,5,100,46.85,101.1
ssia_task_allocation,10,5,100,46.85,12.3
ilp_task_allocation,10,5,100,46.85,49942.2
jv_task_allocation,10,5,100,46.85,464.3
rank_assignments_borda,10,5,100,34.833333333333336,877.2
rank_assignments_approval,10,5,100,60.74999999999999,557.9
rank_assignments_majority_judgment,10,5,100,59.03333333333333,1433.1
rank_assignments_cumulative_voting,10,5,100,53.78333333333333,852.0
rank_assignments_condorcet_method,10,5,100,55.5,67990.2
rank_assignments_range,10,5,100,60.75,164.8
cbba_task_allocation,10,5,100,60.74999999999999,59.5
ssia_task_allocation,10,5,100,60.74999999999999,12.6
ilp_task_allocation,10,5,100,60.74999999999999,42037.6
jv_task_allocation,10,5,100,60.74999999999999,141.5
rank_assignments_borda,10,5,100,58.38809523809523,760.2
rank_assignments_approval,10,5,100,58.38809523809523,809.9
rank_assignments_majority_judgment,10,5,100,58.38809523809523,3378.0
rank_assignments_cumulative_voting,10,5,100,58.63809523809523,1752.8
rank_assignments_condorcet_method,10,5,100,58.63809523809523,72464.9
rank_assignments_range,10,5,100,58.63809523809523,169.1
cbba_task_allocation,10,5,100,58.63809523809523,128.3
ssia_task_allocation,10,5,100,57.81666666666666,11.7
ilp_task_allocation,10,5,100,58.63809523809523,50016.6
jv_task_allocation,10,5,100,58.63809523809523,523.4
rank_assignments_borda,10,5,100,55.34761904761905,786.0
rank_assignments_approval,10,5,100,58.883333333333326,575.1
rank_assignments_majority_judgment,10,5,100,58.88333333333333,1246.7
rank_assignments_cumulative_voting,10,5,100,55.50833333333334,954.3
rank_assignments_condorcet_method,10,5,100,55.50833333333334,70123.0
rank_assignments_range,10,5,100,60.25833333333334,167.3
cbba_task_allocation,10,5,100,60.25833333333333,109.0
ssia_task_allocation,10,5,100,60.09761904761905,12.1
ilp_task_allocation,10,5,100,60.25833333333333,43385.2
jv_task_allocation,10,5,100,60.25833333333333,121.8
rank_assignments_borda,10,7,10,42.46666666666667,102.2
rank_assignments_approval,10,7,10,98.14999999999999,75.0
rank_assignments_majority_judgment,10,7,10,77.96666666666665,230.3
rank_assignments_cumulative_voting,10,7,10,116.81666666666665,120.2
rank_assignments_condorcet_method,10,7,10,118.48333333333332,655.7
rank_assignments_range,10,7,10,90.71666666666665,23.0
cbba_task_allocation,10,7,10,99.14999999999999,62.3
ssia_task_allocation,10,7,10,116.81666666666666,14.7
ilp_task_allocation,10,7,10,118.48333333333332,67770.2
jv_task_allocation,10,7,10,118.48333333333332,244.8
rank_assignments_borda,10,7,10,35.666666666666664,100.9
rank_assignments_approval,10,7,10,55.0,74.5
rank_assignments_majority_judgment,10,7,10,21.416666666666664,342.9
rank_assignments_cumulative_voting,10,7,10,52.33333333333333,113.1
rank_assignments_condorcet_method,10,7,10,53.33333333333333,661.1
rank_assignments_range,10,7,10,52.33333333333333,22.4
cbba_task_allocation,10,7,10,76.65,150.1
