Robots,Tasks,Candidates,Voting_Method,Suitability_Method,Score_Voting,Time_Voting,Score_CBBA,Time_CBBA,Score_SSIA,Time_SSIA,Score_ILP,Time_ILP
5,5,50,rank_assignments_borda,evaluate_suitability_loose,65.65824929,749.1,72.65824929,186.9,70.15824929,32,73.15824929,69964.4
5,5,50,rank_assignments_borda,evaluate_suitability_loose,48.96815038,707.4,51.96815038,113.2,50.46815038,22.6,51.96815038,71244.1
5,5,50,rank_assignments_borda,evaluate_suitability_loose,55.42289939,698.2,53.92289939,130.4,55.42289939,22,56.92289939,73605.4
5,5,50,rank_assignments_borda,evaluate_suitability_loose,57.50193891,733.1,53.50193891,163,53.50193891,22.8,59.50193891,75507.6
5,5,50,rank_assignments_borda,evaluate_suitability_loose,52.47028509,756.5,54.47028509,183.1,50.97028509,25.9,55.97028509,77945.8
5,5,50,rank_assignments_borda,evaluate_suitability_loose,47.59951119,794.8,48.59951119,174.9,46.09951119,24,49.09951119,69580.9
5,5,50,rank_assignments_borda,evaluate_suitability_loose,58.04300253,731.7,58.04300253,119.2,58.04300253,22.3,58.54300253,73603
5,5,50,rank_assignments_borda,evaluate_suitability_loose,51.02298079,681.3,49.52298079,124.2,48.52298079,20.5,54.02298079,74829.8
5,5,50,rank_assignments_borda,evaluate_suitability_loose,57.66325818,756,61.66325818,106.2,61.66325818,22.2,62.16325818,73124
5,5,50,rank_assignments_borda,evaluate_suitability_loose,54.78143386,737.4,54.28143386,143.8,52.28143386,22.2,55.28143386,78832.4
5,5,50,rank_assignments_borda,evaluate_suitability_loose,54.96072016,876.8,55.46072016,218.4,55.46072016,27.2,56.46072016,76847.3
5,5,50,rank_assignments_borda,evaluate_suitability_loose,54.0484611,737.5,58.0484611,113.8,57.0484611,21.7,59.0484611,76090.5
5,5,50,rank_assignments_borda,evaluate_suitability_loose,56.68249382,744,55.68249382,179.5,55.68249382,22.2,59.18249382,82151.1
5,5,50,rank_assignments_borda,evaluate_suitability_loose,60.54083344,727.7,58.54083344,162.9,58.54083344,22.7,60.54083344,75080.2
