Method,Robots,Tasks,Candidates,Score,Task Normalized Score,Score Density,Length
rank_assignments_borda,10,5,10,4.325257686159942,0.8650515372319884,0.08650515372319884,88.8
rank_assignments_approval,10,5,10,4.253829114731371,0.8507658229462741,0.08507658229462742,45.3
rank_assignments_majority_judgment,10,5,10,4.400087618132731,0.8800175236265462,0.08800175236265462,123.0
rank_assignments_cumulative_voting,10,5,10,4.481720271193955,0.896344054238791,0.08963440542387911,83.2
rank_assignments_condorcet_method,10,5,10,4.423897141942255,0.8847794283884509,0.0884779428388451,432.8
rank_assignments_range,10,5,10,4.532740679357221,0.9065481358714441,0.09065481358714442,14.1
cbba_task_allocation,10,5,,4.532740679357221,0.9065481358714441,0.09065481358714442,47.1
ssia_task_allocation,10,5,,4.532740679357221,0.9065481358714441,0.09065481358714442,8.7
ilp_task_allocation,10,5,,4.532740679357221,0.9065481358714441,0.09065481358714442,32101.4
jv_task_allocation,10,5,,4.532740679357221,0.9065481358714441,0.09065481358714442,55.2
rank_assignments_borda,10,5,10,4.534189105617677,0.9068378211235354,0.09068378211235353,68.6
rank_assignments_approval,10,5,10,4.534189105617677,0.9068378211235354,0.09068378211235353,40.7
rank_assignments_majority_judgment,10,5,10,4.534189105617677,0.9068378211235354,0.09068378211235353,104.2
rank_assignments_cumulative_voting,10,5,10,4.534189105617677,0.9068378211235354,0.09068378211235353,82.3
rank_assignments_condorcet_method,10,5,10,4.449155092012235,0.889831018402447,0.0889831018402447,339.4
rank_assignments_range,10,5,10,4.534189105617678,0.9068378211235355,0.09068378211235356,12.3
cbba_task_allocation,10,5,,4.534189105617677,0.9068378211235354,0.09068378211235353,43.2
ssia_task_allocation,10,5,,4.534189105617677,0.9068378211235354,0.09068378211235353,7.6
ilp_task_allocation,10,5,,4.534189105617678,0.9068378211235355,0.09068378211235356,21898.1
jv_task_allocation,10,5,,4.534189105617677,0.9068378211235354,0.09068378211235353,64.2
rank_assignments_borda,10,5,10,4.4987270739150444,0.8997454147830088,0.08997454147830089,46.2
rank_assignments_approval,10,5,10,4.396686257588513,0.8793372515177026,0.08793372515177027,26.0
rank_assignments_majority_judgment,10,5,10,4.4987270739150444,0.8997454147830088,0.08997454147830089,84.6
rank_assignments_cumulative_voting,10,5,10,4.4987270739150444,0.8997454147830088,0.08997454147830089,63.0
rank_assignments_condorcet_method,10,5,10,4.4987270739150444,0.8997454147830088,0.08997454147830089,207.3
rank_assignments_range,10,5,10,4.4987270739150444,0.8997454147830088,0.08997454147830089,9.5
cbba_task_allocation,10,5,,4.4987270739150444,0.8997454147830088,0.08997454147830089,42.3
ssia_task_allocation,10,5,,3.376587308918136,0.844146827229534,0.06753174617836272,7.4
ilp_task_allocation,10,5,,4.4987270739150444,0.8997454147830088,0.08997454147830089,19597.8
jv_task_allocation,10,5,,4.4987270739150444,0.8997454147830088,0.08997454147830089,52.0
rank_assignments_borda,10,5,10,4.529726386869244,0.9059452773738489,0.09059452773738488,76.9
rank_assignments_approval,10,5,10,4.482107339250196,0.8964214678500392,0.08964214678500391,39.9
rank_assignments_majority_judgment,10,5,10,4.335848835848836,0.8671697671697671,0.08671697671697672,100.8
rank_assignments_cumulative_voting,10,5,10,4.346052917481488,0.8692105834962977,0.08692105834962977,77.1
rank_assignments_condorcet_method,10,5,10,4.312039312039312,0.8624078624078624,0.08624078624078624,339.1
rank_assignments_range,10,5,10,4.529726386869244,0.9059452773738489,0.09059452773738488,12.3
cbba_task_allocation,10,5,,4.5297263868692434,0.9059452773738487,0.09059452773738487,58.4
ssia_task_allocation,10,5,,4.529726386869244,0.9059452773738489,0.09059452773738488,7.1
ilp_task_allocation,10,5,,4.529726386869244,0.9059452773738489,0.09059452773738488,23620.1
jv_task_allocation,10,5,,4.5297263868692434,0.9059452773738487,0.09059452773738487,53.6
rank_assignments_borda,10,5,10,4.357725218627475,0.8715450437254949,0.0871545043725495,69.7
rank_assignments_approval,10,5,10,4.170650388695501,0.8341300777391002,0.08341300777391002,45.8
rank_assignments_majority_judgment,10,5,10,4.357725218627475,0.8715450437254949,0.0871545043725495,110.1
rank_assignments_cumulative_voting,10,5,10,4.357725218627475,0.8715450437254949,0.0871545043725495,119.4
rank_assignments_condorcet_method,10,5,10,4.272691205022032,0.8545382410044065,0.08545382410044064,349.8
rank_assignments_range,10,5,10,4.425752429511828,0.8851504859023656,0.08851504859023657,13.1
cbba_task_allocation,10,5,,4.425752429511828,0.8851504859023656,0.08851504859023657,43.5
ssia_task_allocation,10,5,,3.4393578716886988,0.8598394679221747,0.06878715743377398,7.4
