Method,Robots,Tasks,Candidates,Score,Length
rank_assignments_borda,10,5,10,2.5662941709453335,59.7
rank_assignments_approval,10,5,10,3.081798046914326,38.2
rank_assignments_majority_judgment,10,5,10,1.4066747206282089,161.9
rank_assignments_cumulative_voting,10,5,10,3.655441457767039,65.9
rank_assignments_condorcet_method,10,5,10,3.2926803476421798,335.2
rank_assignments_range,10,5,10,3.699657091828226,18.2
cbba_task_allocation,10,5,10,3.6221377119832647,44.4
ssia_task_allocation,10,5,10,3.6221377119832647,271.5
ilp_task_allocation,10,5,10,3.699657091828226,30218.2
jv_task_allocation,10,5,10,3.699657091828226,54.4
rank_assignments_borda,10,5,10,2.649451323869928,59.0
rank_assignments_approval,10,5,10,3.5851398261481697,40.1
rank_assignments_majority_judgment,10,5,10,2.5292962851102385,118.5
rank_assignments_cumulative_voting,10,5,10,3.089015795140418,65.2
rank_assignments_condorcet_method,10,5,10,3.5851398261481697,338.1
rank_assignments_range,10,5,10,3.5851398261481693,24.7
cbba_task_allocation,10,5,10,3.647155330024139,33.7
ssia_task_allocation,10,5,10,3.647155330024139,307.8
ilp_task_allocation,10,5,10,3.647155330024139,20667.3
jv_task_allocation,10,5,10,3.647155330024139,55.9
rank_assignments_borda,10,5,10,0.7685492801771873,56.0
rank_assignments_approval,10,5,10,0.8969288123557607,38.4
rank_assignments_majority_judgment,10,5,10,0.8969288123557607,118.5
rank_assignments_cumulative_voting,10,5,10,0.9854795788499362,65.2
rank_assignments_condorcet_method,10,5,10,0.9854795788499362,331.7
rank_assignments_range,10,5,10,0.9854795788499362,19.1
cbba_task_allocation,10,5,10,2.9037822064548893,39.1
ssia_task_allocation,10,5,10,2.815231439960714,253.3
ilp_task_allocation,10,5,10,2.9037822064548893,31260.2
jv_task_allocation,10,5,10,2.9037822064548893,77.0
rank_assignments_borda,10,5,10,0.6832779623477299,57.9
rank_assignments_approval,10,5,10,0.9274640088593576,38.5
rank_assignments_majority_judgment,10,5,10,2.707094398139174,136.3
rank_assignments_cumulative_voting,10,5,10,2.707094398139174,66.2
rank_assignments_condorcet_method,10,5,10,2.707094398139174,342.2
rank_assignments_range,10,5,10,2.5743279975838114,18.9
cbba_task_allocation,10,5,10,2.707094398139174,78.5
ssia_task_allocation,10,5,10,2.707094398139174,303.4
ilp_task_allocation,10,5,10,2.707094398139174,28976.4
jv_task_allocation,10,5,10,2.707094398139174,53.5
rank_assignments_borda,10,5,10,0.6832779623477299,54.3
rank_assignments_approval,10,5,10,2.3826405574062637,37.8
rank_assignments_majority_judgment,10,5,10,0.6832779623477299,121.9
rank_assignments_cumulative_voting,10,5,10,2.3748886194217675,62.8
rank_assignments_condorcet_method,10,5,10,2.3826405574062637,332.6
rank_assignments_range,10,5,10,2.3826405574062637,19.4
cbba_task_allocation,10,5,10,2.6810901698093645,50.1
ssia_task_allocation,10,5,10,2.681090169809364,284.4
ilp_task_allocation,10,5,10,2.681090169809364,19884.3
jv_task_allocation,10,5,10,2.6810901698093645,62.4
rank_assignments_borda,10,5,25,0.806906272022551,193.7
rank_assignments_approval,10,5,25,0.806906272022551,97.0
rank_assignments_majority_judgment,10,5,25,0.806906272022551,218.4
rank_assignments_cumulative_voting,10,5,25,0.806906272022551,145.8
rank_assignments_condorcet_method,10,5,25,0.806906272022551,2174.3
rank_assignments_range,10,5,25,0.9309372797744891,39.0
cbba_task_allocation,10,5,25,1.9164168586244252,68.1
ssia_task_allocation,10,5,25,1.9164168586244252,273.5
ilp_task_allocation,10,5,25,1.9164168586244252,18213.5
jv_task_allocation,10,5,25,1.9164168586244252,49.9
rank_assignments_borda,10,5,25,1.5802067747034907,127.2
rank_assignments_approval,10,5,25,1.5336951467965139,90.4
rank_assignments_majority_judgment,10,5,25,1.4739756367663344,218.9
rank_assignments_cumulative_voting,10,5,25,0.636766334440753,142.8
rank_assignments_condorcet_method,10,5,25,1.668757541197666,2181.2
rank_assignments_range,10,5,25,1.668757541197666,34.2
cbba_task_allocation,10,5,25,1.6920133551511545,48.8
ssia_task_allocation,10,5,25,1.6920133551511545,242.2
ilp_task_allocation,10,5,25,1.6920133551511545,21109.1
jv_task_allocation,10,5,25,1.6920133551511545,52.3
rank_assignments_borda,10,5,25,1.522953790395651,125.1
rank_assignments_approval,10,5,25,1.522953790395651,88.9
rank_assignments_majority_judgment,10,5,25,1.6818685190778213,297.2
rank_assignments_cumulative_voting,10,5,25,1.6741165810933252,140.2
rank_assignments_condorcet_method,10,5,25,1.6973723950468136,2217.4
rank_assignments_range,10,5,25,1.6973723950468136,37.7
cbba_task_allocation,10,5,25,2.6673480979277575,70.2
ssia_task_allocation,10,5,25,2.5943012074025744,244.8
ilp_task_allocation,10,5,25,2.68285197389675,21471.2
jv_task_allocation,10,5,25,2.68285197389675,50.9
rank_assignments_borda,10,5,25,1.5370985603543745,133.2
rank_assignments_approval,10,5,25,2.3964562569213728,86.2
rank_assignments_majority_judgment,10,5,25,2.3122923588039868,280.6
rank_assignments_cumulative_voting,10,5,25,2.3122923588039868,158.0
rank_assignments_condorcet_method,10,5,25,2.3964562569213728,2397.4
rank_assignments_range,10,5,25,2.3964562569213728,37.7
cbba_task_allocation,10,5,25,3.4014396456256923,57.2
ssia_task_allocation,10,5,25,3.4014396456256923,289.8
ilp_task_allocation,10,5,25,3.401439645625692,22723.0
jv_task_allocation,10,5,25,3.401439645625692,52.3
rank_assignments_borda,10,5,25,0.8527131782945736,123.5
rank_assignments_approval,10,5,25,0.0,89.8
rank_assignments_majority_judgment,10,5,25,0.8527131782945736,207.2
rank_assignments_cumulative_voting,10,5,25,1.7796303892798164,131.5
rank_assignments_condorcet_method,10,5,25,1.7796303892798164,2206.1
rank_assignments_range,10,5,25,1.7796303892798164,34.3
cbba_task_allocation,10,5,25,1.7796303892798164,68.6
ssia_task_allocation,10,5,25,1.6468639887244538,333.0
ilp_task_allocation,10,5,25,1.7796303892798164,18335.9
jv_task_allocation,10,5,25,1.7796303892798164,54.3
rank_assignments_borda,10,5,50,2.4916943521594686,248.3
rank_assignments_approval,10,5,50,2.026578073089701,167.6
rank_assignments_majority_judgment,10,5,50,2.332779623477298,365.1
rank_assignments_cumulative_voting,10,5,50,2.332779623477298,274.3
rank_assignments_condorcet_method,10,5,50,2.1854928017718716,9185.5
rank_assignments_range,10,5,50,2.6234772978959024,71.6
cbba_task_allocation,10,5,50,3.576542837007953,43.0
ssia_task_allocation,10,5,50,3.5765428370079535,445.4
