Method,Robots,Tasks,Candidates,Score,Length
rank_assignments_borda,10,5,10,1.725890356142457,56.5
rank_assignments_approval,10,5,10,0.9115905904346472,40.6
rank_assignments_majority_judgment,10,5,10,2.571317167632691,129.7
rank_assignments_cumulative_voting,10,5,10,2.6374809465771043,63.8
rank_assignments_condorcet_method,10,5,10,2.7685960791973163,331.5
rank_assignments_range,10,5,10,2.7685960791973163,11.6
cbba_task_allocation,10,5,10,3.6723575837991573,35.6
ssia_task_allocation,10,5,10,3.6723575837991573,7.8
ilp_task_allocation,10,5,10,3.6723575837991573,31450.9
jv_task_allocation,10,5,10,3.672357583799157,92.6
rank_assignments_borda,10,5,10,2.8231811808692946,57.4
rank_assignments_approval,10,5,10,0.9115905904346472,37.6
rank_assignments_majority_judgment,10,5,10,0.9115905904346472,128.9
rank_assignments_cumulative_voting,10,5,10,3.7601665013132615,65.2
rank_assignments_condorcet_method,10,5,10,3.7601665013132615,329.2
rank_assignments_range,10,5,10,3.7601665013132615,18.2
cbba_task_allocation,10,5,10,4.760166501313261,46.7
ssia_task_allocation,10,5,10,4.760166501313261,7.5
ilp_task_allocation,10,5,10,4.760166501313261,29471.1
jv_task_allocation,10,5,10,4.760166501313261,88.7
rank_assignments_borda,10,5,10,3.3476797417531605,66.5
rank_assignments_approval,10,5,10,1.6336783517234645,39.2
rank_assignments_majority_judgment,10,5,10,1.6336783517234645,126.2
rank_assignments_cumulative_voting,10,5,10,3.3476797417531605,65.8
rank_assignments_condorcet_method,10,5,10,3.3476797417531605,332.1
rank_assignments_range,10,5,10,3.3476797417531605,11.8
cbba_task_allocation,10,5,10,3.3476797417531605,39.3
ssia_task_allocation,10,5,10,3.3476797417531605,7.4
ilp_task_allocation,10,5,10,3.3476797417531605,19682.8
jv_task_allocation,10,5,10,3.3476797417531605,94.0
rank_assignments_borda,10,5,10,2.58052084910528,56.9
rank_assignments_approval,10,5,10,2.58052084910528,37.8
rank_assignments_majority_judgment,10,5,10,1.8375977256574272,134.4
rank_assignments_cumulative_voting,10,5,10,2.6607789065267218,64.8
rank_assignments_condorcet_method,10,5,10,2.6607789065267218,333.1
rank_assignments_range,10,5,10,2.7491883160920745,11.7
cbba_task_allocation,10,5,10,4.660778906526722,42.6
ssia_task_allocation,10,5,10,4.776425165030123,7.6
ilp_task_allocation,10,5,10,4.776425165030123,28454.7
jv_task_allocation,10,5,10,4.776425165030123,106.3
rank_assignments_borda,10,5,10,2.6387905613320974,56.6
rank_assignments_approval,10,5,10,2.4423487169630405,37.3
rank_assignments_majority_judgment,10,5,10,2.5979742348014847,128.8
rank_assignments_cumulative_voting,10,5,10,3.340333865220817,63.6
rank_assignments_condorcet_method,10,5,10,3.537612776785443,329.3
rank_assignments_range,10,5,10,3.4355719604589123,11.9
cbba_task_allocation,10,5,10,3.592034545492926,36.1
ssia_task_allocation,10,5,10,3.592034545492926,7.7
ilp_task_allocation,10,5,10,3.592034545492926,27414.3
jv_task_allocation,10,5,10,3.592034545492926,90.6
rank_assignments_borda,10,5,25,3.8407468250458074,124.6
rank_assignments_approval,10,5,25,0.8102398854278553,85.5
rank_assignments_majority_judgment,10,5,25,1.8102398854278552,220.5
rank_assignments_cumulative_voting,10,5,25,3.840746825045808,139.2
rank_assignments_condorcet_method,10,5,25,3.650986710473663,2159.7
rank_assignments_range,10,5,25,3.650986710473663,25.4
cbba_task_allocation,10,5,25,4.6509867104736635,49.8
ssia_task_allocation,10,5,25,4.650986710473663,7.7
ilp_task_allocation,10,5,25,4.6509867104736635,20203.0
jv_task_allocation,10,5,25,4.6509867104736635,85.8
rank_assignments_borda,10,5,25,0.6907854050711194,124.6
rank_assignments_approval,10,5,25,1.632988240403726,86.6
rank_assignments_majority_judgment,10,5,25,1.5283831307285465,215.1
rank_assignments_cumulative_voting,10,5,25,2.555619979666595,139.2
rank_assignments_condorcet_method,10,5,25,2.555619979666595,2139.0
rank_assignments_range,10,5,25,2.633851272183602,25.1
cbba_task_allocation,10,5,25,2.688273040891085,30.4
ssia_task_allocation,10,5,25,2.688273040891085,7.6
ilp_task_allocation,10,5,25,2.688273040891085,19798.4
jv_task_allocation,10,5,25,2.688273040891085,94.4
rank_assignments_borda,10,5,25,4.350291312697328,124.0
rank_assignments_approval,10,5,25,4.350291312697328,87.6
rank_assignments_majority_judgment,10,5,25,4.350291312697328,296.1
rank_assignments_cumulative_voting,10,5,25,4.350291312697328,143.1
rank_assignments_condorcet_method,10,5,25,4.350291312697328,2248.4
rank_assignments_range,10,5,25,4.350291312697328,25.8
cbba_task_allocation,10,5,25,4.571379748071477,55.4
ssia_task_allocation,10,5,25,4.571379748071477,7.9
ilp_task_allocation,10,5,25,4.571379748071477,22007.5
jv_task_allocation,10,5,25,4.571379748071477,269.0
rank_assignments_borda,10,5,25,3.702432300252903,125.5
rank_assignments_approval,10,5,25,4.498376632184149,87.3
rank_assignments_majority_judgment,10,5,25,4.498376632184149,207.6
rank_assignments_cumulative_voting,10,5,25,4.498376632184149,205.0
rank_assignments_condorcet_method,10,5,25,4.498376632184149,2247.1
rank_assignments_range,10,5,25,4.498376632184149,26.1
cbba_task_allocation,10,5,25,2.906487968321657,67.1
ssia_task_allocation,10,5,25,3.702432300252903,7.9
