Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
5761,den009d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""delivery"", ""delivery"", ""delivery"", ""crane""]","[""item elevation"", ""delivery"", ""lay bricks"", ""excavate"", ""item elevation""]"
5762,den009d.map,5,5,evaluate_suitability_new,"[""assembly"", ""scaffolding"", ""assembly"", ""bricklayer"", ""delivery""]","[""utilities"", ""scaffold"", ""item elevation"", ""assembly"", ""item elevation""]"
5763,den009d.map,5,5,evaluate_suitability_new,"[""crane"", ""assembly"", ""delivery"", ""assembly"", ""crane""]","[""lay bricks"", ""debris"", ""excavate"", ""debris"", ""lay bricks""]"
5764,den009d.map,5,5,evaluate_suitability_new,"[""excavator"", ""excavator"", ""bricklayer"", ""bricklayer"", ""crane""]","[""delivery"", ""debris"", ""assembly"", ""excavate"", ""delivery""]"
5765,den009d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""bricklayer"", ""crane"", ""excavator"", ""crane""]","[""utilities"", ""delivery"", ""lay bricks"", ""utilities"", ""debris""]"
5766,den009d.map,5,5,evaluate_suitability_new,"[""excavator"", ""crane"", ""excavator"", ""bricklayer"", ""bricklayer""]","[""assembly"", ""lay bricks"", ""delivery"", ""scaffold"", ""excavate""]"
5767,den009d.map,5,5,evaluate_suitability_new,"[""delivery"", ""excavator"", ""bricklayer"", ""delivery"", ""excavator""]","[""scaffold"", ""scaffold"", ""utilities"", ""delivery"", ""assembly""]"
5768,den009d.map,5,5,evaluate_suitability_new,"[""delivery"", ""scaffolding"", ""scaffolding"", ""scaffolding"", ""assembly""]","[""item elevation"", ""item elevation"", ""scaffold"", ""utilities"", ""utilities""]"
5769,den009d.map,5,5,evaluate_suitability_new,"[""assembly"", ""crane"", ""assembly"", ""crane"", ""bricklayer""]","[""assembly"", ""debris"", ""scaffold"", ""excavate"", ""item elevation""]"
5770,den009d.map,5,5,evaluate_suitability_new,"[""excavator"", ""delivery"", ""assembly"", ""bricklayer"", ""scaffolding""]","[""item elevation"", ""lay bricks"", ""lay bricks"", ""debris"", ""lay bricks""]"
5771,den009d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""scaffolding"", ""bricklayer"", ""assembly"", ""scaffolding""]","[""delivery"", ""debris"", ""scaffold"", ""excavate"", ""item elevation""]"
5772,den009d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""excavator"", ""bricklayer"", ""crane"", ""assembly""]","[""debris"", ""delivery"", ""lay bricks"", ""utilities"", ""scaffold""]"
5773,den009d.map,5,5,evaluate_suitability_new,"[""crane"", ""excavator"", ""scaffolding"", ""bricklayer"", ""delivery""]","[""delivery"", ""excavate"", ""utilities"", ""delivery"", ""scaffold""]"
5774,den009d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""excavator"", ""bricklayer"", ""bricklayer"", ""bricklayer""]","[""utilities"", ""item elevation"", ""assembly"", ""delivery"", ""scaffold""]"
5775,den009d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""bricklayer"", ""assembly"", ""excavator"", ""crane""]","[""item elevation"", ""utilities"", ""assembly"", ""delivery"", ""utilities""]"
5776,den009d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""bricklayer"", ""crane"", ""bricklayer"", ""scaffolding""]","[""lay bricks"", ""scaffold"", ""debris"", ""assembly"", ""delivery""]"
5777,den009d.map,5,5,evaluate_suitability_new,"[""excavator"", ""delivery"", ""crane"", ""scaffolding"", ""scaffolding""]","[""excavate"", ""item elevation"", ""excavate"", ""utilities"", ""utilities""]"
5778,den009d.map,5,5,evaluate_suitability_new,"[""crane"", ""crane"", ""bricklayer"", ""crane"", ""bricklayer""]","[""utilities"", ""delivery"", ""excavate"", ""scaffold"", ""delivery""]"
5779,den009d.map,5,5,evaluate_suitability_new,"[""assembly"", ""bricklayer"", ""scaffolding"", ""excavator"", ""scaffolding""]","[""debris"", ""lay bricks"", ""delivery"", ""utilities"", ""assembly""]"
5780,den009d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""assembly"", ""excavator"", ""crane"", ""scaffolding""]","[""scaffold"", ""item elevation"", ""utilities"", ""excavate"", ""debris""]"
5781,den009d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""scaffolding"", ""assembly"", ""crane"", ""bricklayer""]","[""item elevation"", ""lay bricks"", ""lay bricks"", ""debris"", ""utilities""]"
5782,den009d.map,5,5,evaluate_suitability_loose,"[""excavator"", ""delivery"", ""excavator"", ""delivery"", ""scaffolding""]","[""excavate"", ""scaffold"", ""excavate"", ""delivery"", ""debris""]"
5783,den009d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""excavator"", ""scaffolding"", ""scaffolding"", ""assembly""]","[""excavate"", ""debris"", ""assembly"", ""debris"", ""assembly""]"
5784,den009d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""excavator"", ""assembly"", ""scaffolding"", ""excavator""]","[""lay bricks"", ""scaffold"", ""utilities"", ""assembly"", ""excavate""]"
5785,den009d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""crane"", ""bricklayer"", ""excavator"", ""assembly""]","[""utilities"", ""utilities"", ""lay bricks"", ""delivery"", ""excavate""]"
5786,den009d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""scaffolding"", ""scaffolding"", ""scaffolding"", ""crane""]","[""excavate"", ""delivery"", ""scaffold"", ""item elevation"", ""utilities""]"
5787,den009d.map,5,5,evaluate_suitability_loose,"[""excavator"", ""assembly"", ""crane"", ""scaffolding"", ""bricklayer""]","[""debris"", ""debris"", ""scaffold"", ""lay bricks"", ""lay bricks""]"
5788,den009d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""assembly"", ""bricklayer"", ""scaffolding"", ""assembly""]","[""excavate"", ""debris"", ""utilities"", ""assembly"", ""utilities""]"
5789,den009d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""crane"", ""delivery"", ""crane"", ""delivery""]","[""debris"", ""item elevation"", ""debris"", ""excavate"", ""delivery""]"
5790,den009d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""bricklayer"", ""excavator"", ""delivery"", ""scaffolding""]","[""delivery"", ""lay bricks"", ""assembly"", ""item elevation"", ""excavate""]"
5791,den009d.map,5,5,evaluate_suitability_loose,"[""crane"", ""crane"", ""scaffolding"", ""excavator"", ""excavator""]","[""delivery"", ""assembly"", ""scaffold"", ""assembly"", ""assembly""]"
5792,den009d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""assembly"", ""assembly"", ""excavator"", ""delivery""]","[""assembly"", ""item elevation"", ""delivery"", ""assembly"", ""scaffold""]"
5793,den009d.map,5,5,evaluate_suitability_loose,"[""crane"", ""excavator"", ""excavator"", ""delivery"", ""assembly""]","[""excavate"", ""excavate"", ""lay bricks"", ""item elevation"", ""delivery""]"
5794,den009d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""delivery"", ""bricklayer"", ""scaffolding"", ""assembly""]","[""scaffold"", ""assembly"", ""scaffold"", ""utilities"", ""delivery""]"
5795,den009d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""scaffolding"", ""assembly"", ""excavator"", ""excavator""]","[""excavate"", ""utilities"", ""utilities"", ""scaffold"", ""debris""]"
5796,den009d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""delivery"", ""scaffolding"", ""delivery"", ""excavator""]","[""scaffold"", ""item elevation"", ""assembly"", ""lay bricks"", ""debris""]"
5797,den009d.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""scaffolding"", ""delivery"", ""assembly"", ""delivery""]","[""scaffold"", ""delivery"", ""scaffold"", ""debris"", ""debris""]"
5798,den009d.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""assembly"", ""crane"", ""assembly"", ""scaffolding""]","[""lay bricks"", ""excavate"", ""item elevation"", ""assembly"", ""excavate""]"
5799,den009d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""excavator"", ""assembly"", ""assembly"", ""assembly""]","[""utilities"", ""delivery"", ""item elevation"", ""item elevation"", ""utilities""]"
5800,den009d.map,5,5,evaluate_suitability_loose,"[""crane"", ""excavator"", ""excavator"", ""delivery"", ""excavator""]","[""excavate"", ""lay bricks"", ""utilities"", ""scaffold"", ""excavate""]"
5801,den009d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""delivery"", ""scaffolding"", ""crane"", ""crane""]","[""utilities"", ""utilities"", ""item elevation"", ""utilities"", ""utilities""]"
5802,den009d.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""excavator"", ""crane"", ""excavator"", ""scaffolding""]","[""lay bricks"", ""debris"", ""scaffold"", ""scaffold"", ""excavate""]"
5803,den009d.map,5,5,evaluate_suitability_strict,"[""bricklayer"", ""crane"", ""scaffolding"", ""delivery"", ""excavator""]","[""utilities"", ""utilities"", ""item elevation"", ""assembly"", ""excavate""]"
5804,den009d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""crane"", ""scaffolding"", ""bricklayer"", ""bricklayer""]","[""delivery"", ""debris"", ""utilities"", ""delivery"", ""utilities""]"
5805,den009d.map,5,5,evaluate_suitability_strict,"[""delivery"", ""delivery"", ""delivery"", ""excavator"", ""delivery""]","[""lay bricks"", ""item elevation"", ""item elevation"", ""scaffold"", ""scaffold""]"
5806,den009d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""delivery"", ""bricklayer"", ""scaffolding"", ""excavator""]","[""utilities"", ""excavate"", ""utilities"", ""lay bricks"", ""lay bricks""]"
5807,den009d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""scaffolding"", ""crane"", ""delivery"", ""assembly""]","[""utilities"", ""item elevation"", ""utilities"", ""lay bricks"", ""delivery""]"
5808,den009d.map,5,5,evaluate_suitability_strict,"[""crane"", ""scaffolding"", ""excavator"", ""excavator"", ""delivery""]","[""debris"", ""excavate"", ""lay bricks"", ""assembly"", ""excavate""]"
5809,den009d.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""delivery"", ""bricklayer"", ""scaffolding"", ""crane""]","[""debris"", ""excavate"", ""utilities"", ""delivery"", ""delivery""]"
5810,den009d.map,5,5,evaluate_suitability_strict,"[""delivery"", ""delivery"", ""bricklayer"", ""bricklayer"", ""delivery""]","[""lay bricks"", ""item elevation"", ""scaffold"", ""excavate"", ""debris""]"
5811,den009d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""assembly"", ""scaffolding"", ""crane"", ""excavator""]","[""utilities"", ""assembly"", ""lay bricks"", ""debris"", ""excavate""]"
5812,den009d.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""scaffolding"", ""excavator"", ""assembly"", ""assembly""]","[""scaffold"", ""utilities"", ""debris"", ""excavate"", ""utilities""]"
5813,den009d.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""scaffolding"", ""assembly"", ""delivery"", ""scaffolding""]","[""delivery"", ""item elevation"", ""scaffold"", ""assembly"", ""scaffold""]"
5814,den009d.map,5,5,evaluate_suitability_strict,"[""delivery"", ""scaffolding"", ""bricklayer"", ""crane"", ""bricklayer""]","[""lay bricks"", ""lay bricks"", ""scaffold"", ""item elevation"", ""lay bricks""]"
5815,den009d.map,5,5,evaluate_suitability_strict,"[""crane"", ""crane"", ""bricklayer"", ""scaffolding"", ""excavator""]","[""debris"", ""delivery"", ""scaffold"", ""item elevation"", ""assembly""]"
5816,den009d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""scaffolding"", ""delivery"", ""excavator"", ""delivery""]","[""delivery"", ""scaffold"", ""debris"", ""item elevation"", ""utilities""]"
5817,den009d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""crane"", ""crane"", ""excavator"", ""bricklayer""]","[""debris"", ""item elevation"", ""utilities"", ""scaffold"", ""utilities""]"
5818,den009d.map,5,5,evaluate_suitability_strict,"[""assembly"", ""scaffolding"", ""bricklayer"", ""assembly"", ""scaffolding""]","[""debris"", ""debris"", ""delivery"", ""utilities"", ""utilities""]"
5819,den009d.map,5,5,evaluate_suitability_strict,"[""bricklayer"", ""assembly"", ""assembly"", ""excavator"", ""excavator""]","[""scaffold"", ""scaffold"", ""excavate"", ""delivery"", ""utilities""]"
5820,den009d.map,5,5,evaluate_suitability_strict,"[""delivery"", ""bricklayer"", ""bricklayer"", ""scaffolding"", ""assembly""]","[""utilities"", ""scaffold"", ""delivery"", ""scaffold"", ""utilities""]"
5821,den009d.map,5,20,evaluate_suitability_new,"[""delivery"", ""excavator"", ""crane"", ""assembly"", ""excavator""]","[""lay bricks"", ""lay bricks"", ""utilities"", ""scaffold"", ""utilities"", ""debris"", ""item elevation"", ""lay bricks"", ""lay bricks"", ""lay bricks"", ""delivery"", ""delivery"", ""excavate"", ""scaffold"", ""excavate"", ""assembly"", ""delivery"", ""delivery"", ""item elevation"", ""scaffold""]"
5822,den009d.map,5,20,evaluate_suitability_new,"[""assembly"", ""bricklayer"", ""crane"", ""crane"", ""delivery""]","[""utilities"", ""scaffold"", ""scaffold"", ""scaffold"", ""debris"", ""excavate"", ""utilities"", ""debris"", ""debris"", ""debris"", ""excavate"", ""debris"", ""utilities"", ""utilities"", ""excavate"", ""excavate"", ""lay bricks"", ""debris"", ""assembly"", ""debris""]"
5823,den009d.map,5,20,evaluate_suitability_new,"[""excavator"", ""bricklayer"", ""scaffolding"", ""excavator"", ""excavator""]","[""scaffold"", ""debris"", ""item elevation"", ""scaffold"", ""lay bricks"", ""utilities"", ""debris"", ""utilities"", ""utilities"", ""assembly"", ""scaffold"", ""lay bricks"", ""item elevation"", ""debris"", ""assembly"", ""scaffold"", ""lay bricks"", ""utilities"", ""scaffold"", ""utilities""]"
5824,den009d.map,5,20,evaluate_suitability_new,"[""crane"", ""bricklayer"", ""scaffolding"", ""delivery"", ""delivery""]","[""utilities"", ""assembly"", ""debris"", ""debris"", ""item elevation"", ""delivery"", ""utilities"", ""delivery"", ""lay bricks"", ""assembly"", ""utilities"", ""excavate"", ""utilities"", ""assembly"", ""utilities"", ""excavate"", ""lay bricks"", ""excavate"", ""scaffold"", ""debris""]"
5825,den009d.map,5,20,evaluate_suitability_new,"[""bricklayer"", ""crane"", ""crane"", ""excavator"", ""delivery""]","[""debris"", ""lay bricks"", ""assembly"", ""item elevation"", ""scaffold"", ""assembly"", ""lay bricks"", ""assembly"", ""debris"", ""item elevation"", ""utilities"", ""lay bricks"", ""excavate"", ""utilities"", ""delivery"", ""item elevation"", ""item elevation"", ""item elevation"", ""assembly"", ""assembly""]"
5826,den009d.map,5,20,evaluate_suitability_new,"[""assembly"", ""bricklayer"", ""assembly"", ""delivery"", ""excavator""]","[""delivery"", ""item elevation"", ""utilities"", ""debris"", ""assembly"", ""debris"", ""utilities"", ""utilities"", ""lay bricks"", ""lay bricks"", ""delivery"", ""delivery"", ""lay bricks"", ""utilities"", ""scaffold"", ""lay bricks"", ""scaffold"", ""debris"", ""item elevation"", ""utilities""]"
5827,den009d.map,5,20,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""delivery"", ""scaffolding"", ""crane""]","[""debris"", ""utilities"", ""item elevation"", ""delivery"", ""scaffold"", ""item elevation"", ""item elevation"", ""debris"", ""scaffold"", ""scaffold"", ""utilities"", ""item elevation"", ""scaffold"", ""item elevation"", ""item elevation"", ""scaffold"", ""lay bricks"", ""delivery"", ""scaffold"", ""item elevation""]"
5828,den009d.map,5,20,evaluate_suitability_new,"[""assembly"", ""excavator"", ""assembly"", ""delivery"", ""bricklayer""]","[""utilities"", ""scaffold"", ""scaffold"", ""utilities"", ""lay bricks"", ""scaffold"", ""lay bricks"", ""lay bricks"", ""assembly"", ""utilities"", ""scaffold"", ""item elevation"", ""assembly"", ""item elevation"", ""excavate"", ""debris"", ""scaffold"", ""assembly"", ""excavate"", ""delivery""]"
