Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
3841,lak102d.map,5,5,evaluate_suitability_new,"[""crane"", ""excavator"", ""excavator"", ""assembly"", ""bricklayer""]","[""utilities"", ""excavate"", ""assembly"", ""assembly"", ""lay bricks""]"
3842,lak102d.map,5,5,evaluate_suitability_new,"[""crane"", ""excavator"", ""excavator"", ""assembly"", ""scaffolding""]","[""assembly"", ""assembly"", ""delivery"", ""lay bricks"", ""scaffold""]"
3843,lak102d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""bricklayer"", ""excavator"", ""assembly"", ""assembly""]","[""item elevation"", ""item elevation"", ""item elevation"", ""excavate"", ""item elevation""]"
3844,lak102d.map,5,5,evaluate_suitability_new,"[""crane"", ""scaffolding"", ""crane"", ""bricklayer"", ""excavator""]","[""utilities"", ""utilities"", ""excavate"", ""utilities"", ""scaffold""]"
3845,lak102d.map,5,5,evaluate_suitability_new,"[""excavator"", ""assembly"", ""scaffolding"", ""bricklayer"", ""scaffolding""]","[""item elevation"", ""utilities"", ""assembly"", ""item elevation"", ""item elevation""]"
3846,lak102d.map,5,5,evaluate_suitability_new,"[""delivery"", ""crane"", ""bricklayer"", ""assembly"", ""assembly""]","[""delivery"", ""utilities"", ""assembly"", ""excavate"", ""item elevation""]"
3847,lak102d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""excavator"", ""bricklayer"", ""excavator""]","[""excavate"", ""assembly"", ""item elevation"", ""assembly"", ""scaffold""]"
3848,lak102d.map,5,5,evaluate_suitability_new,"[""assembly"", ""scaffolding"", ""excavator"", ""scaffolding"", ""bricklayer""]","[""debris"", ""debris"", ""debris"", ""delivery"", ""lay bricks""]"
3849,lak102d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""delivery"", ""bricklayer"", ""delivery"", ""excavator""]","[""excavate"", ""assembly"", ""lay bricks"", ""debris"", ""item elevation""]"
3850,lak102d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""delivery"", ""assembly"", ""bricklayer"", ""assembly""]","[""utilities"", ""scaffold"", ""excavate"", ""item elevation"", ""excavate""]"
3851,lak102d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""excavator"", ""crane"", ""delivery"", ""delivery""]","[""utilities"", ""assembly"", ""excavate"", ""excavate"", ""utilities""]"
3852,lak102d.map,5,5,evaluate_suitability_new,"[""crane"", ""delivery"", ""excavator"", ""bricklayer"", ""bricklayer""]","[""delivery"", ""scaffold"", ""scaffold"", ""assembly"", ""lay bricks""]"
3853,lak102d.map,5,5,evaluate_suitability_new,"[""crane"", ""delivery"", ""delivery"", ""excavator"", ""scaffolding""]","[""debris"", ""debris"", ""excavate"", ""item elevation"", ""debris""]"
3854,lak102d.map,5,5,evaluate_suitability_new,"[""delivery"", ""assembly"", ""scaffolding"", ""assembly"", ""assembly""]","[""item elevation"", ""item elevation"", ""debris"", ""scaffold"", ""item elevation""]"
3855,lak102d.map,5,5,evaluate_suitability_new,"[""delivery"", ""excavator"", ""assembly"", ""bricklayer"", ""delivery""]","[""delivery"", ""excavate"", ""delivery"", ""assembly"", ""scaffold""]"
3856,lak102d.map,5,5,evaluate_suitability_new,"[""assembly"", ""scaffolding"", ""delivery"", ""scaffolding"", ""crane""]","[""item elevation"", ""excavate"", ""debris"", ""excavate"", ""debris""]"
3857,lak102d.map,5,5,evaluate_suitability_new,"[""delivery"", ""assembly"", ""scaffolding"", ""delivery"", ""crane""]","[""scaffold"", ""scaffold"", ""lay bricks"", ""utilities"", ""delivery""]"
3858,lak102d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""crane"", ""scaffolding"", ""scaffolding""]","[""item elevation"", ""utilities"", ""scaffold"", ""assembly"", ""lay bricks""]"
3859,lak102d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""scaffolding"", ""excavator"", ""scaffolding"", ""scaffolding""]","[""utilities"", ""debris"", ""delivery"", ""excavate"", ""debris""]"
3860,lak102d.map,5,5,evaluate_suitability_new,"[""assembly"", ""bricklayer"", ""assembly"", ""assembly"", ""scaffolding""]","[""assembly"", ""item elevation"", ""lay bricks"", ""utilities"", ""lay bricks""]"
