Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
9601,ost002d.map,5,5,evaluate_suitability_new,"[""crane"", ""crane"", ""crane"", ""scaffolding"", ""assembly""]","[""excavate"", ""scaffold"", ""item elevation"", ""debris"", ""item elevation""]"
9602,ost002d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""scaffolding"", ""assembly"", ""assembly""]","[""assembly"", ""utilities"", ""scaffold"", ""item elevation"", ""item elevation""]"
9603,ost002d.map,5,5,evaluate_suitability_new,"[""delivery"", ""crane"", ""bricklayer"", ""assembly"", ""delivery""]","[""item elevation"", ""debris"", ""item elevation"", ""item elevation"", ""item elevation""]"
9604,ost002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""crane"", ""delivery"", ""bricklayer"", ""bricklayer""]","[""lay bricks"", ""lay bricks"", ""item elevation"", ""assembly"", ""excavate""]"
9605,ost002d.map,5,5,evaluate_suitability_new,"[""crane"", ""excavator"", ""scaffolding"", ""bricklayer"", ""assembly""]","[""scaffold"", ""utilities"", ""delivery"", ""delivery"", ""debris""]"
9606,ost002d.map,5,5,evaluate_suitability_new,"[""crane"", ""excavator"", ""scaffolding"", ""crane"", ""excavator""]","[""lay bricks"", ""debris"", ""debris"", ""excavate"", ""item elevation""]"
9607,ost002d.map,5,5,evaluate_suitability_new,"[""excavator"", ""bricklayer"", ""assembly"", ""crane"", ""excavator""]","[""assembly"", ""debris"", ""debris"", ""scaffold"", ""utilities""]"
9608,ost002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""bricklayer"", ""excavator"", ""assembly"", ""delivery""]","[""delivery"", ""scaffold"", ""utilities"", ""lay bricks"", ""utilities""]"
9609,ost002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""scaffolding"", ""excavator"", ""bricklayer"", ""scaffolding""]","[""lay bricks"", ""item elevation"", ""lay bricks"", ""excavate"", ""delivery""]"
9610,ost002d.map,5,5,evaluate_suitability_new,"[""crane"", ""scaffolding"", ""excavator"", ""bricklayer"", ""bricklayer""]","[""scaffold"", ""excavate"", ""utilities"", ""scaffold"", ""debris""]"
9611,ost002d.map,5,5,evaluate_suitability_new,"[""excavator"", ""excavator"", ""assembly"", ""scaffolding"", ""crane""]","[""excavate"", ""utilities"", ""item elevation"", ""lay bricks"", ""delivery""]"
9612,ost002d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""excavator"", ""scaffolding"", ""assembly"", ""bricklayer""]","[""assembly"", ""delivery"", ""debris"", ""scaffold"", ""delivery""]"
9613,ost002d.map,5,5,evaluate_suitability_new,"[""excavator"", ""scaffolding"", ""crane"", ""excavator"", ""scaffolding""]","[""scaffold"", ""scaffold"", ""lay bricks"", ""assembly"", ""scaffold""]"
9614,ost002d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""scaffolding"", ""crane"", ""assembly"", ""assembly""]","[""item elevation"", ""debris"", ""lay bricks"", ""assembly"", ""item elevation""]"
9615,ost002d.map,5,5,evaluate_suitability_new,"[""excavator"", ""assembly"", ""excavator"", ""scaffolding"", ""assembly""]","[""item elevation"", ""delivery"", ""utilities"", ""utilities"", ""scaffold""]"
9616,ost002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""excavator"", ""bricklayer"", ""bricklayer"", ""assembly""]","[""excavate"", ""scaffold"", ""debris"", ""lay bricks"", ""delivery""]"
9617,ost002d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""bricklayer"", ""bricklayer"", ""scaffolding"", ""crane""]","[""assembly"", ""utilities"", ""item elevation"", ""utilities"", ""delivery""]"
9618,ost002d.map,5,5,evaluate_suitability_new,"[""delivery"", ""bricklayer"", ""bricklayer"", ""assembly"", ""scaffolding""]","[""excavate"", ""debris"", ""scaffold"", ""delivery"", ""scaffold""]"
9619,ost002d.map,5,5,evaluate_suitability_new,"[""delivery"", ""scaffolding"", ""excavator"", ""excavator"", ""assembly""]","[""delivery"", ""item elevation"", ""excavate"", ""assembly"", ""excavate""]"
9620,ost002d.map,5,5,evaluate_suitability_new,"[""crane"", ""crane"", ""scaffolding"", ""crane"", ""assembly""]","[""delivery"", ""excavate"", ""assembly"", ""scaffold"", ""excavate""]"
9621,ost002d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""delivery"", ""crane"", ""crane"", ""bricklayer""]","[""assembly"", ""debris"", ""debris"", ""assembly"", ""scaffold""]"
9622,ost002d.map,5,5,evaluate_suitability_loose,"[""excavator"", ""bricklayer"", ""assembly"", ""scaffolding"", ""bricklayer""]","[""debris"", ""scaffold"", ""utilities"", ""debris"", ""scaffold""]"
9623,ost002d.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""scaffolding"", ""bricklayer"", ""delivery"", ""crane""]","[""debris"", ""utilities"", ""assembly"", ""scaffold"", ""delivery""]"
9624,ost002d.map,5,5,evaluate_suitability_loose,"[""crane"", ""delivery"", ""excavator"", ""scaffolding"", ""assembly""]","[""utilities"", ""debris"", ""utilities"", ""debris"", ""assembly""]"
9625,ost002d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""excavator"", ""scaffolding"", ""assembly"", ""bricklayer""]","[""excavate"", ""lay bricks"", ""lay bricks"", ""assembly"", ""delivery""]"
9626,ost002d.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""scaffolding"", ""bricklayer"", ""assembly"", ""delivery""]","[""item elevation"", ""lay bricks"", ""item elevation"", ""lay bricks"", ""assembly""]"
9627,ost002d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""delivery"", ""assembly"", ""excavator"", ""assembly""]","[""lay bricks"", ""assembly"", ""item elevation"", ""item elevation"", ""debris""]"
9628,ost002d.map,5,5,evaluate_suitability_loose,"[""crane"", ""crane"", ""scaffolding"", ""excavator"", ""bricklayer""]","[""excavate"", ""item elevation"", ""debris"", ""lay bricks"", ""utilities""]"
9629,ost002d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""bricklayer"", ""crane"", ""crane"", ""excavator""]","[""utilities"", ""scaffold"", ""utilities"", ""item elevation"", ""debris""]"
9630,ost002d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""excavator"", ""assembly"", ""delivery"", ""bricklayer""]","[""item elevation"", ""utilities"", ""item elevation"", ""excavate"", ""delivery""]"
9631,ost002d.map,5,5,evaluate_suitability_loose,"[""excavator"", ""delivery"", ""crane"", ""assembly"", ""assembly""]","[""assembly"", ""debris"", ""debris"", ""excavate"", ""item elevation""]"
9632,ost002d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""delivery"", ""excavator"", ""crane"", ""scaffolding""]","[""scaffold"", ""scaffold"", ""item elevation"", ""debris"", ""scaffold""]"
9633,ost002d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""scaffolding"", ""excavator"", ""excavator"", ""excavator""]","[""excavate"", ""item elevation"", ""utilities"", ""excavate"", ""scaffold""]"
