Run ID,Method,Suitability Method,Num Robots,Num Tasks,Num Candidates,Total Score,Task Normalized Score,Score Density,Length,total_reward,overall_success_rate,total_success,total_reassignment_time,total_reassignment_score,total_reassignments,Total Time Steps,Average Reassignment Score,Average Path Length,Execution Time,CPU Usage,Memory Usage,Map Size
9601,rank_assignments_borda,evaluate_suitability_new,5,5,5,3.527255057867303,0.8818137644668258,0.14109020231469213,27.358,19.0,0.8,4.0,169.74,3.7839473451718355,14,347,0.2702819532265597,99.5,53091849,2.9,23293079552,Large
9601,rank_assignments_approval,evaluate_suitability_new,5,5,5,3.0714727449421324,0.7678681862355331,0.1228589097976853,14.005,19.0,0.8,4.0,125.54900000000002,4.289513207880555,15,347,0.285967547192037,86.5,36662844,5.0,23292821504,Large
9601,rank_assignments_majority_judgment,evaluate_suitability_new,5,5,5,3.527255057867303,0.8818137644668258,0.14109020231469213,150.921,19.0,0.8,4.0,523.3480000000001,3.808949553847513,12,347,0.3174124628206261,79.5,49788525,3.1,23292559360,Large
9601,rank_assignments_cumulative_voting,evaluate_suitability_new,5,5,5,3.2143298877992756,0.8035824719498189,0.12857319551197102,27.691,19.0,0.8,4.0,167.649,3.6444915628589105,9,347,0.4049435069843234,158.5,35701272,4.3,23292526592,Large
9601,rank_assignments_condorcet_method,evaluate_suitability_new,5,5,5,3.513649615690432,0.878412403922608,0.14054598462761728,43.858,14.0,0.6,3.0,299.234,4.381349942574433,15,347,0.29208999617162884,149.5,51252864,3.7,23293300736,Large
9601,rank_assignments_range,evaluate_suitability_new,5,5,5,3.527255057867303,0.8818137644668258,0.14109020231469213,20.943,19.0,0.8,4.0,100.21300000000001,3.038077568689814,9,347,0.3375641742988682,79.5,45254605,3.4,23293558784,Large
9601,cbba_task_allocation,evaluate_suitability_new,5,5,5,3.527255057867303,0.8818137644668258,0.14109020231469213,27.46,19.0,0.8,4.0,165.60700000000003,3.0652884530435554,14,347,0.21894917521739682,99.5,42082717,5.1,23293558784,Large
9601,ssia_task_allocation,evaluate_suitability_new,5,5,5,3.527255057867303,0.8818137644668258,0.14109020231469213,6.324,19.0,0.8,4.0,119.795,3.0652884530435554,17,347,0.1803110854731503,99.5,43229768,5.8,23294681088,Large
9601,ilp_task_allocation,evaluate_suitability_new,5,5,5,3.527255057867303,0.8818137644668258,0.14109020231469213,7021.105,19.0,0.8,4.0,27747.502,3.0652884530435554,14,347,0.21894917521739682,131.5,77926793,6.4,23297572864,Large
9601,jv_task_allocation,evaluate_suitability_new,5,5,5,3.527255057867303,0.8818137644668258,0.14109020231469213,79.286,19.0,0.8,4.0,273.92500000000007,3.0652884530435554,14,347,0.21894917521739682,99.5,43417530,6.4,23299280896,Large
9602,rank_assignments_borda,evaluate_suitability_new,5,5,5,4.417858189071938,0.8835716378143876,0.17671432756287753,32.997,26.0,1.0,5.0,55.924,2.1330506228465413,4,234,0.5332626557116353,66.0,20557341,6.1,23297974272,Large
9602,rank_assignments_approval,evaluate_suitability_new,5,5,5,4.164920650420114,0.8329841300840227,0.16659682601680456,17.213,26.0,1.0,5.0,70.86699999999999,3.1040495487326853,5,204,0.620809909746537,110.4,30917268,6.0,23297740800,Large
9602,rank_assignments_majority_judgment,evaluate_suitability_new,5,5,5,4.611735740092346,0.9223471480184692,0.18446942960369384,159.602,26.0,1.0,5.0,279.595,2.755894839138663,4,263,0.6889737097846658,59.6,20499990,7.4,23297740800,Large
9602,rank_assignments_cumulative_voting,evaluate_suitability_new,5,5,5,4.4178581890719375,0.8835716378143875,0.1767143275628775,32.662,26.0,1.0,5.0,127.38900000000001,1.784895913252519,3,210,0.5949653044175064,57.6,18832686,8.2,23297740800,Large
9602,rank_assignments_condorcet_method,evaluate_suitability_new,5,5,5,4.358798201440521,0.8717596402881043,0.17435192805762084,67.566,26.0,1.0,5.0,109.429,3.3081311813857464,4,215,0.8270327953464366,44.8,19798444,6.2,23297470464,Large
9602,rank_assignments_range,evaluate_suitability_new,5,5,5,4.4178581890719375,0.8835716378143875,0.1767143275628775,10.787,26.0,1.0,5.0,31.475,3.536661691334087,5,229,0.7073323382668174,101.2,27668540,6.6,23302639616,Large
9602,cbba_task_allocation,evaluate_suitability_new,5,5,5,4.32602145437806,0.8652042908756121,0.1730408581751224,37.379,26.0,1.0,5.0,17.256,0.8649173955296405,2,174,0.43245869776482027,91.2,11679758,5.3,23302639616,Large
9602,ssia_task_allocation,evaluate_suitability_new,5,5,5,4.32602145437806,0.8652042908756121,0.1730408581751224,8.178,26.0,1.0,5.0,14.149,1.6762964926230235,3,174,0.5587654975410078,91.2,14695177,8.0,23302381568,Large
9602,ilp_task_allocation,evaluate_suitability_new,5,5,5,4.611735740092346,0.9223471480184692,0.18446942960369384,9646.202,26.0,1.0,5.0,11014.884,1.8359163214157845,3,212,0.6119721071385948,59.6,36993880,5.9,23303294976,Large
9602,jv_task_allocation,evaluate_suitability_new,5,5,5,4.611735740092346,0.9223471480184692,0.18446942960369384,155.162,26.0,1.0,5.0,106.993,1.6762964926230235,3,194,0.5587654975410078,108.4,24936821,7.1,23303294976,Large
9603,rank_assignments_borda,evaluate_suitability_new,5,5,5,2.6944959802102657,0.6736239950525664,0.10777983920841062,30.002,16.0,0.8,4.0,87.59,0.0,4,347,0.0,112.25,35911531,5.7,23292989440,Large
9603,rank_assignments_approval,evaluate_suitability_new,5,5,5,2.9904143475572047,0.7476035868893012,0.11961657390228819,16.185,16.0,0.8,4.0,137.299,1.4118738404452693,8,347,0.17648423005565866,130.75,25233081,2.4,23292354560,Large
9603,rank_assignments_majority_judgment,evaluate_suitability_new,5,5,5,3.0176252319109462,0.7544063079777366,0.12070500927643785,148.625,12.0,0.6,3.0,265.859,1.7077922077922079,5,347,0.34155844155844156,157.0,36790476,4.2,23291568128,Large
9603,rank_assignments_cumulative_voting,evaluate_suitability_new,5,5,5,2.9904143475572047,0.7476035868893012,0.11961657390228819,34.162,16.0,0.8,4.0,200.23399999999998,1.9511440940012368,6,347,0.3251906823335395,130.75,41284224,3.0,23291052032,Large
9603,rank_assignments_condorcet_method,evaluate_suitability_new,5,5,5,2.9155844155844153,0.7288961038961038,0.11662337662337662,53.555,21.0,1.0,5.0,189.78700000000003,1.4867037724180583,9,343,0.16518930804645093,152.0,37184453,4.1,23291052032,Large
9603,rank_assignments_range,evaluate_suitability_new,5,5,5,3.0176252319109467,0.7544063079777367,0.12070500927643786,12.09,17.0,0.8,4.0,80.353,0.6413110698824984,8,347,0.0801638837353123,156.5,45225861,3.4,23291310080,Large
9603,cbba_task_allocation,evaluate_suitability_new,5,5,5,3.0176252319109462,0.7544063079777366,0.12070500927643785,36.114,21.0,1.0,5.0,151.994,2.4511440940012372,9,264,0.27234934377791525,62.5,28315930,3.3,23291052032,Large
9603,ssia_task_allocation,evaluate_suitability_new,5,5,5,3.0176252319109462,0.7544063079777366,0.12070500927643785,8.022,16.0,0.8,4.0,60.303000000000004,2.3763141620284483,6,347,0.3960523603380747,62.0,27391561,2.3,23291826176,Large
