Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
1,lak102d.map,5,5,evaluate_suitability_new,"[""excavator"", ""excavator"", ""bricklayer"", ""crane"", ""scaffolding""]","[""debris"", ""assembly"", ""delivery"", ""scaffold"", ""delivery""]"
2,lak102d.map,5,5,evaluate_suitability_new,"[""crane"", ""delivery"", ""crane"", ""scaffolding"", ""excavator""]","[""assembly"", ""delivery"", ""excavate"", ""excavate"", ""excavate""]"
3,lak102d.map,5,5,evaluate_suitability_new,"[""excavator"", ""crane"", ""bricklayer"", ""crane"", ""excavator""]","[""excavate"", ""scaffold"", ""utilities"", ""lay bricks"", ""scaffold""]"
4,lak102d.map,5,5,evaluate_suitability_new,"[""excavator"", ""excavator"", ""delivery"", ""scaffolding"", ""scaffolding""]","[""assembly"", ""item elevation"", ""utilities"", ""delivery"", ""assembly""]"
5,lak102d.map,5,5,evaluate_suitability_new,"[""crane"", ""bricklayer"", ""assembly"", ""assembly"", ""delivery""]","[""assembly"", ""item elevation"", ""utilities"", ""delivery"", ""debris""]"
6,lak102d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""delivery"", ""scaffolding"", ""assembly"", ""assembly""]","[""excavate"", ""assembly"", ""scaffold"", ""delivery"", ""delivery""]"
7,lak102d.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""delivery"", ""bricklayer"", ""assembly"", ""crane""]","[""lay bricks"", ""delivery"", ""lay bricks"", ""utilities"", ""item elevation""]"
8,lak102d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""excavator"", ""bricklayer"", ""bricklayer"", ""bricklayer""]","[""debris"", ""excavate"", ""item elevation"", ""lay bricks"", ""assembly""]"
9,lak102d.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""assembly"", ""delivery"", ""excavator"", ""crane""]","[""delivery"", ""delivery"", ""utilities"", ""lay bricks"", ""debris""]"
10,lak102d.map,5,5,evaluate_suitability_loose,"[""delivery"", ""bricklayer"", ""crane"", ""scaffolding"", ""scaffolding""]","[""scaffold"", ""utilities"", ""scaffold"", ""assembly"", ""scaffold""]"
11,lak102d.map,5,5,evaluate_suitability_strict,"[""delivery"", ""scaffolding"", ""delivery"", ""assembly"", ""delivery""]","[""assembly"", ""lay bricks"", ""excavate"", ""scaffold"", ""utilities""]"
12,lak102d.map,5,5,evaluate_suitability_strict,"[""crane"", ""bricklayer"", ""scaffolding"", ""assembly"", ""delivery""]","[""scaffold"", ""debris"", ""delivery"", ""utilities"", ""assembly""]"
