Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
8821,ost002d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""delivery"", ""scaffolding"", ""excavator""]","[""lay bricks"", ""debris"", ""utilities"", ""delivery"", ""assembly""]"
8822,ost002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""excavator"", ""assembly"", ""delivery"", ""scaffolding""]","[""assembly"", ""delivery"", ""item elevation"", ""delivery"", ""scaffold""]"
8823,ost002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""excavator"", ""crane"", ""scaffolding"", ""bricklayer""]","[""debris"", ""item elevation"", ""item elevation"", ""delivery"", ""item elevation""]"
8824,ost002d.map,5,5,evaluate_suitability_new,"[""excavator"", ""assembly"", ""bricklayer"", ""excavator"", ""assembly""]","[""lay bricks"", ""utilities"", ""utilities"", ""delivery"", ""scaffold""]"
8825,ost002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""bricklayer"", ""assembly"", ""excavator"", ""assembly""]","[""delivery"", ""utilities"", ""assembly"", ""delivery"", ""excavate""]"
8826,ost002d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""assembly"", ""excavator"", ""scaffolding"", ""scaffolding""]","[""lay bricks"", ""excavate"", ""excavate"", ""utilities"", ""debris""]"
8827,ost002d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""crane"", ""excavator"", ""scaffolding"", ""bricklayer""]","[""excavate"", ""assembly"", ""debris"", ""item elevation"", ""assembly""]"
8828,ost002d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""assembly"", ""excavator"", ""excavator"", ""excavator""]","[""lay bricks"", ""debris"", ""assembly"", ""excavate"", ""item elevation""]"
8829,ost002d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""excavator"", ""bricklayer"", ""excavator"", ""assembly""]","[""delivery"", ""item elevation"", ""excavate"", ""utilities"", ""item elevation""]"
8830,ost002d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""scaffolding"", ""crane"", ""assembly"", ""excavator""]","[""item elevation"", ""utilities"", ""debris"", ""item elevation"", ""item elevation""]"
8831,ost002d.map,5,5,evaluate_suitability_strict,"[""excavator"", ""assembly"", ""assembly"", ""assembly"", ""scaffolding""]","[""excavate"", ""delivery"", ""utilities"", ""item elevation"", ""delivery""]"
8832,ost002d.map,5,5,evaluate_suitability_strict,"[""crane"", ""assembly"", ""excavator"", ""bricklayer"", ""bricklayer""]","[""lay bricks"", ""lay bricks"", ""item elevation"", ""delivery"", ""delivery""]"
8833,ost002d.map,5,5,evaluate_suitability_strict,"[""crane"", ""assembly"", ""assembly"", ""bricklayer"", ""assembly""]","[""delivery"", ""delivery"", ""assembly"", ""utilities"", ""scaffold""]"
8834,ost002d.map,5,5,evaluate_suitability_strict,"[""crane"", ""excavator"", ""excavator"", ""crane"", ""delivery""]","[""debris"", ""assembly"", ""utilities"", ""scaffold"", ""lay bricks""]"
8835,ost002d.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""crane"", ""excavator"", ""delivery"", ""assembly""]","[""debris"", ""utilities"", ""scaffold"", ""excavate"", ""assembly""]"
8836,ost002d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""assembly"", ""bricklayer"", ""bricklayer"", ""bricklayer""]","[""utilities"", ""assembly"", ""excavate"", ""excavate"", ""item elevation""]"
8837,ost002d.map,5,5,evaluate_suitability_new,"[""assembly"", ""scaffolding"", ""assembly"", ""assembly"", ""delivery""]","[""lay bricks"", ""utilities"", ""utilities"", ""scaffold"", ""scaffold""]"
